criticize,"v. 批评, 吹毛求疵, 非难"
condemn,"vt. 判刑, 责备, 谴责
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
ambition,"n. 野心, 志向"
commence,"v. (使)开始, 得学位"
unhindered,"a. 不受妨碍的, 不受阻碍的"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
meaningless,a. 无意义的
fabricate,"vt. 制造, 建造, 装配, 伪造"
illusion,"n. 幻影, 错觉, 幻想
"
deficiency,"n. 缺乏, 不足
"
bask,"vi. 晒太阳, 感到舒适"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
unchangeable,"a. 不变的, 不能改变的"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
miserable,a. 悲惨的；痛苦的；卑鄙的
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
fantasy,"n. 幻想, 想象的产物
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
sensation,"n. 感觉, 轰动
"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
mutual,"a. 相互的, 共有的
"
cherish,"vt. 珍爱, 怀有, 爱护"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
intently,"adv. 一心一意地, 心无旁物地, 专心地"
